,rank,AGE,GP,P,P/GP,+/-,Sh%,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF%,CF%,FF%,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,G/GP,A/GP,x0_C,"x0_C, LW","x0_C, LW, RW","x0_C, RW","x0_C, RW, LW",x0_D,x0_G,x0_LD,"x0_LD, LW",x0_LD/RD,x0_LW,"x0_LW, C","x0_LW, C, RW","x0_LW, LD","x0_LW, RW","x0_LW, RW, C",x0_RD,"x0_RD, RW",x0_RW,"x0_RW, C","x0_RW, LW","x0_RW, LW, C",Low Cap Hit,Middle Cap Hit,High Cap Hit,Low Salary,Middle Salary,High Salary
1,2,28,42,58,1.38,14,0.16,11.20,106,222,165,0.81,7.71,16.14,12.0,59.01,60.12,60.23,65.33,0,0,0,0.0,0.0,0.0,0.0,0.0,0.40476190476190477,0.9761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2,3,22,52,66,1.27,21,0.18,26.46,214,356,306,1.47,11.86,19.73,16.96,60.13,59.01,59.70,65.52,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7884615384615384,0.4807692307692308,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
3,4,30,52,22,0.42,-18,0.07,6.13,109,236,157,0.3,5.42,11.73,7.81,51.78,51.72,51.30,50.17,0,0,0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.2692307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4,5,30,56,34,0.61,-14,0.08,6.46,95,224,143,0.27,3.99,9.41,6.0,52.77,52.74,52.36,49.66,0,0,0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,6,29,56,50,0.89,12,0.12,22.31,154,265,210,1.36,9.36,16.12,12.78,57.72,57.47,57.58,63.64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3392857142857143,0.5535714285714286,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,7,23,55,67,1.22,21,0.13,19.76,153,290,204,0.98,7.58,14.36,10.1,56.33,54.93,55.73,61.52,0,0,0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.8545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
7,8,32,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
8,9,31,56,66,1.18,-7,0.08,16.54,191,323,240,0.8,9.21,15.57,11.57,51.87,51.82,50.67,51.38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.26785714285714285,0.9107142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
9,10,32,25,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,12,7,1,2.64,0.901,2.64,2.34,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
10,11,31,31,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,19,8,0,2.91,0.906,2.91,2.54,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
11,12,23,21,18,0.86,-9,0.03,5.76,61,107,92,0.8,8.5,14.91,12.82,61.8,62.65,63.64,57.35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.7619047619047619,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
12,13,32,56,50,0.89,-7,0.11,12.62,115,212,158,0.66,6.0,11.07,8.25,53.1,53.61,52.96,51.07,0,0,0,0.0,0.0,0.0,0.0,0.0,0.23214285714285715,0.6607142857142857,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
13,14,28,3,2,0.67,0,0.25,0.77,8,12,8,0.91,9.44,14.17,9.44,54.72,50.63,50.00,41.03,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
14,15,34,45,42,0.93,-7,0.13,17.39,178,342,259,1.22,12.44,23.9,18.1,55.69,56.35,55.56,55.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
15,16,27,0,0,0.00,0,0.0,0.00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
16,17,30,52,35,0.67,13,0.09,12.87,124,209,165,0.84,8.05,13.56,10.71,59.29,57.96,57.72,59.99,0,0,0,0.0,0.0,0.0,0.0,0.0,0.21153846153846154,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
17,18,33,33,28,0.85,-4,0.11,6.06,72,126,92,0.62,7.38,12.91,9.43,56.32,58.17,58.07,55.72,0,0,0,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,0.6060606060606061,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
18,19,25,42,-,-,0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,-,-,0.0,31,10,5,2.21,0.925,2.21,2.51,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
19,20,28,55,61,1.11,26,0.21,16.28,97,172,144,0.95,5.64,10.01,8.38,59.14,57.23,58.97,63.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.38181818181818183,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20,21,23,52,66,1.27,30,0.17,20.03,171,298,230,1.2,10.22,17.8,13.74,67.93,69.15,68.48,73.14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
21,22,32,55,53,0.96,0,0.16,10.39,90,160,125,0.62,5.38,9.56,7.47,56.82,56.56,56.47,56.61,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.6909090909090909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22,23,30,48,33,0.69,-11,0.06,8.00,141,290,202,0.41,7.24,14.89,10.38,55.74,55.87,56.09,54.72,0,0,0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.5208333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
23,24,31,44,19,0.43,-16,0.05,4.38,99,195,138,0.27,6.04,11.89,8.42,48.77,52.18,50.48,45.68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
24,25,28,53,14,0.26,-11,0.06,10.42,111,189,153,0.81,8.68,14.78,11.96,50.7,51.50,51.03,48.92,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1320754716981132,0.1320754716981132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
25,26,30,41,23,0.56,20,0.06,6.09,119,267,173,0.37,7.27,16.32,10.57,53.51,53.23,53.28,55.03,0,0,0,0.0,0.0,0.0,0.0,0.0,0.17073170731707318,0.3902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
26,27,32,55,62,1.13,8,0.15,19.66,159,251,208,1.05,8.51,13.44,11.13,56.38,57.40,56.60,58.53,0,0,0,0.0,0.0,0.0,0.0,0.0,0.43636363636363634,0.6909090909090909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
27,28,24,56,84,1.50,29,0.18,21.77,162,293,220,1.08,8.07,14.6,10.96,57.99,57.81,57.72,62.43,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5535714285714286,0.9464285714285714,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28,29,30,38,34,0.89,4,0.19,10.81,91,153,120,0.93,7.87,13.23,10.37,54.96,58.03,56.61,57.21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4473684210526316,0.4473684210526316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
29,30,22,56,57,1.02,16,0.16,20.49,148,251,208,1.12,8.15,13.82,11.45,59.02,60.40,59.78,61.38,0,0,0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5892857142857143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
30,31,32,54,43,0.80,-4,0.13,12.76,120,211,176,0.78,7.36,12.95,10.8,58.69,59.71,59.45,59.92,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31,32,28,46,24,0.52,-17,0.04,3.18,83,175,122,0.2,5.16,10.89,7.59,46.0,48.32,46.82,43.79,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.45652173913043476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
32,33,33,50,46,0.92,-17,0.13,12.11,110,166,141,0.82,7.48,11.29,9.59,53.8,53.94,54.17,49.72,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
33,34,35,48,17,0.35,-14,0.07,8.48,70,133,100,0.64,5.28,10.02,7.54,51.64,54.81,53.40,52.15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
